Su ?çeri?i (%),#10 Kalan (%),#200 Geçen (%),LL  (%),PL (%),CU
36,0,94.7,57.4,19,22.18799224
37.6,0,94.5,53.2,21,15.87293957
42.8,0,95.3,55.7,19.6,8.845176347
45.2,0,91.9,54.8,18,5.67545629
25.7,0,94.1,40.5,18.6,38.26856733
39.4,0,93.9,48.6,22.7,8.759009265
31.6,0,91.9,64.5,21.5,57.71085869
35.9,0,95.8,66,21.9,39.47361163
25,0,89.5,52.8,21.6,102.9834567
26.1,0,88.4,46.3,20.5,62.64302536
27.8,0,89,56.6,19.3,59.59965302
16.7,0,92.7,56.5,20.1,261.2360009
37.9,0,91.3,51.4,19.6,12.04805331
38.4,0,83.3,54.8,20,14.93737869
36.2,0,88.8,64.6,20.3,32.62092064
46.4,0,92.3,68.6,19.6,13.73765951
15.6,10.9,63,45.2,20,379.513346
20.8,0,84.7,43.2,20.5,159.9740779
15.2,12.8,54.4,41.5,19.6,428.3341114
36.2,6.9,84.1,48.6,21.5,14.02517878
33.3,5.3,85.5,52.8,18.6,23.54257439
34.7,0,88.8,54.8,19.3,23.11570786
23.5,0,92.8,48,20,95.66553096
18.9,0,85.8,43.2,20.5,235.095989
22.6,0,94.9,53.2,21.2,139.0132571
19.9,0,95,56.6,20.8,190.8387642
31.7,0,95.2,57.6,20.9,43.91519194
33.3,0,93.3,55.9,18.6,27.74672375
20.2,0,85.7,46.5,21.3,207.7990005
20.7,0,84.6,47.5,20,151.2175712
17,0,80.3,43.9,19.6,278.0854597
31.1,0,95.9,52.5,18.6,31.18100549
24.5,0,96.4,57.4,20,97.74674391
34.6,0,94.2,59.6,21.6,35.24336881
29,0,95.4,45.8,20.3,35.39425064
39.8,0,82.8,42.8,18.3,3.002611137
23.4,0,94.9,56.7,17.6,85.92855929
26.3,0,92.1,55.4,19.3,69.68075453
40,0,93.6,52.5,21.5,10.92355839
37.4,0,88.4,54.5,19.3,15.96985331
36.8,5.9,80.9,49.6,21.5,13.89364849
34.8,0,97.8,57,18.6,24.41932066
38.8,0,94.7,52.5,18.3,10.79166833
48.1,0,94.8,51.4,18.6,2.715652557
41.3,0,97.3,55.7,19.6,10.70796847
33.6,0,92.5,49.6,20.3,21.07231994
29.6,0,92,46.6,19.3,29.97750445
28.3,0,94.3,52.6,21.3,60.77333411
29,0,96.2,54.8,19.6,49.77519228
29.1,0,95,52.5,18.6,40.90152724
32.5,0,95.6,52.2,21.5,32.71261755
24.5,11.7,84,46.5,20,77.84715498
36.5,0,91.8,57.4,21.3,24.51186171
23,13.2,75.7,56.9,21.5,139.896574
17.4,12,76.1,45.8,20.6,304.8637198
22.1,0,91.2,57.6,19.3,121.4546421
32.1,0,88.2,55.8,20,35.91701134
34.1,0,97.8,61.3,19.9,35.0994075
28.7,0,94.3,63.2,22.6,85.17748103
25.5,0,97,56.5,21.2,97.07817601
27.2,0,93.9,52.2,18.6,52.38077112
38.8,0,97.1,54.7,19.3,13.49288969
33.9,0,96.3,54.8,18.3,23.80688646
46.8,0,96,55.8,20.3,5.486835356
42.9,0,97.7,54.7,19.6,8.024936769
30.5,0,97.6,61.3,22.3,64.63261963
30.5,0,98.7,54.6,21.5,48.67535447
33.6,0,97.4,66,19.9,43.33289199
40.9,0,97.3,62.4,18.6,16.34679958
35.6,0,96.9,64.8,18.3,30.70968363
28.8,0,73.1,57.4,19,52.56033904
40.6,0,93,56.6,21.4,13.83176393
43.3,0,92.9,52.4,18.6,5.897971712
37.5,0,95,55.8,18.6,16.42729011
20.7,0,89.7,54.8,19.6,147.2399165
23,0,92.1,58.8,20,119.1240291
22.5,0,94.2,58.8,19.3,117.1176339
31.6,0,96.4,57.8,20.9,44.79342656
38.4,0,95.6,58.6,21.6,21.05980713
29,0,94.7,50.4,21.6,52.14230115
24.4,0,93.5,52,20,90.32046041
28.7,0,96.9,57.6,19.6,56.50525858
42,0,95.8,55.8,20.3,10.21910486
33.9,0,90.8,57,19.6,29.2873965
31.3,0,96.1,54,19.3,34.6461039
32.4,0,94.9,65,22.6,58.71534624
32.3,0,96.2,64.8,19.6,46.68647791
